# ppt
,Texas
TIMESTEP,MEAN(mm/month)
1948-10-01T00:00:00Z,24.743961
1948-11-01T00:00:00Z,48.998856
1948-12-01T00:00:00Z,0.35773733
1949-01-01T00:00:00Z,28.419933
1949-02-01T00:00:00Z,24.40537
1949-03-01T00:00:00Z,27.686571
1949-04-01T00:00:00Z,18.163631
1949-05-01T00:00:00Z,109.8077
1949-06-01T00:00:00Z,110.32213
1949-07-01T00:00:00Z,126.63088
1949-08-01T00:00:00Z,55.235718
1949-09-01T00:00:00Z,31.001741
1949-10-01T00:00:00Z,34.199093
1949-11-01T00:00:00Z,0.13758019
1949-12-01T00:00:00Z,10.076194
1950-01-01T00:00:00Z,0.5754482
1950-02-01T00:00:00Z,5.4596314
1950-03-01T00:00:00Z,1.1514568
1950-04-01T00:00:00Z,24.719234
1950-05-01T00:00:00Z,36.580162
1950-06-01T00:00:00Z,74.13892
1950-07-01T00:00:00Z,222.23228
1950-08-01T00:00:00Z,116.99217
1950-09-01T00:00:00Z,105.984184
1950-10-01T00:00:00Z,15.242947
1950-11-01T00:00:00Z,2.083676
1950-12-01T00:00:00Z,0.16716078
1951-01-01T00:00:00Z,18.011703
1951-02-01T00:00:00Z,18.499992
1951-03-01T00:00:00Z,17.764208
1951-04-01T00:00:00Z,17.083092
1951-05-01T00:00:00Z,160.58646
1951-06-01T00:00:00Z,88.013336
1951-07-01T00:00:00Z,82.09619
1951-08-01T00:00:00Z,44.572372
1951-09-01T00:00:00Z,12.963384
1951-10-01T00:00:00Z,16.19279
1951-11-01T00:00:00Z,13.293123
1951-12-01T00:00:00Z,1.4658062
1952-01-01T00:00:00Z,2.9650676
1952-02-01T00:00:00Z,8.018082
1952-03-01T00:00:00Z,31.122032
1952-04-01T00:00:00Z,51.837242
1952-05-01T00:00:00Z,29.253826
1952-06-01T00:00:00Z,8.750532
1952-07-01T00:00:00Z,45.18225
1952-08-01T00:00:00Z,51.954945
1952-09-01T00:00:00Z,9.892642
1952-10-01T00:00:00Z,0.30177617
1952-11-01T00:00:00Z,14.378588
1952-12-01T00:00:00Z,10.984659
1953-01-01T00:00:00Z,4.728371
1953-02-01T00:00:00Z,4.14396
1953-03-01T00:00:00Z,11.987532
1953-04-01T00:00:00Z,15.039056
1953-05-01T00:00:00Z,47.95001
1953-06-01T00:00:00Z,18.936401
1953-07-01T00:00:00Z,103.631615
1953-08-01T00:00:00Z,77.12133
1953-09-01T00:00:00Z,8.954612
1953-10-01T00:00:00Z,49.965687
1953-11-01T00:00:00Z,22.853369
1953-12-01T00:00:00Z,16.01179
1954-01-01T00:00:00Z,3.8470685
1954-02-01T00:00:00Z,1.8142788
